clean,label
anies president info,Positive
gerindra party politician sandiaga uno answers the question of being paired again with former dki jakarta governor anies baswedan in the upcoming presidential election,Positive
mr anies continued  we will guard him until he becomes president,Positive
may allah swt save the nation and state of the republic of indonesia from traitors to the mandate of the people  o allah  the most merciful and the most merciful  raise the rank of anies rasyid baswedan to become president of the republic of indonesia this year and beyond  amen  yra,Positive
poor chotimah  uncle anies  that s why my family has decided to elect pa anies as president,Positive
pdip cadres become president where the mister is food imports,Negative
if there is no declaration from the supporting party then the results of this survey are useless,Positive
the voice of the people,Positive
amien rais will vote for prabowo subianto if anies baswedan fails to become a presidential candidate in the presidential election,Negative
who was the governor ,Positive
kpk moves for justice for all indonesian people,Negative
anies prabowo,Positive
can become governor because there is a party that supports him,Negative
think about why you lost,Negative
the official from your political party criticizes his party,Negative
not surprised,Positive
carry on,Positive
yes  we who are pro anies will always be outside the palace,Positive
smart herianto anies is very suitable for the president of the republic of indonesia,Positive
you are so busy managing our presidential candidate  anies baswed  and the track record of anies that you posted does not reflect anies  actual achievements  the people are intelligent enough to judge that anies will be president of the republic of indonesia ,Positive
id  god willing  bang anies will become president,Positive
great,Positive
is n t that the conspiracy of the embittered cebong troops who are very upset about the pks promoting anies as presidential candidate  anies  the extinct cebong president,Positive
anies president watch video of asad mahrizal,Positive
the democratic party stated that gerindra sandiaga uno party cadres did not meet the criteria for a vice presidential candidate and vice presidential candidate to accompany anies baswedan in the presidential election ,Positive
yooo join the national volunteer ranks of the anies united bnkab coalition for the movement for change anies for president call chat,Positive
please join and become a volunteer for anies for president place call,Positive
god willing  mr anies baswedan will become president of the republic of indonesia  just pray so that you will be unemployed buzzerrp  getting a job is not as cool as it is now poor thing,Positive
i hope anies baswedan becomes the president of the republic of indonesia so that the sumber sane hospital case can be completed  the construction of kakaban quickly ends ,Positive
let s fight for anies baswedan to become president of the republic of indonesia,Positive
nothing else  if it s not fake  it means you re a traitor  do n t forget to drink coffee before imsak,Positive
fahnoor inismyname bowo traitor,Negative
rational people will not repeat the same mistakes together,Negative
rg with the discourse of a large coalition consisting of five political parties supporting the palace  anies looks like he is being attacked by anies  party  which is not a member of anies  party  well  why are you afraid ,Negative
the explanation by several key witnesses supporting ab should be used as a benchmark to improve the results of the anies survey for the change in president anies,Positive
i hope anies becomes president of the republic of indonesia aamiinaamiinaamiin,Positive
why are you afraid of anies baswedan and the president of the republic of indonesia ,Positive
anies baswedan as president is sure of that,Positive
achmadi  let s support anies baswedan and the president of the republic of indonesia,Positive
whatever the title of the song remains,Positive
the viral wave of popular support for anies baswedan abw as a presidential candidate in the general election continues to increase,Positive
three parties from the coalition of change that supports anies baswedan are targeting the former governor of dki jakarta s vote during the presidential election to reach a percentage in ta,Negative
id let s support anies baswedan and the president of the republic of indonesia,Positive
this is really asking  is it true that the acting governor has been replaced by his name  mr heru  who has only been in office for a year  mr heru  because it s funny to fill the vacancy instead of using someone who has been chosen by the people  instead someone who got a free presidential pass ,Negative
chotimah ganjar pranowo wins but anies baswedan remains president of indonesia for the term,Negative
god willing  mr anies  president of the republic of indonesia and all religions in this country will rise and be in harmony within the framework of the republic of indonesia,Positive
anies withdrew from being a presidential candidate  leaving it entirely up to the kpu who would become president,Negative
,Negative
because of this post  i am even more convinced that this accusation has no effect on mr anies  who is indeed fit to be president,Positive
why gen prefers the republic of indonesia s president  listen to the rational  objective explanation for indonesia s future changes,Positive
saligia chotimah next president anies rasyid baswedan aamiin,Positive
advocates are ready to fight  ready to defend anies rasyid baswedan  the president of the republic of indonesia  statement of the position of the volunteer advocate team,Positive
just be afraid of you  anies president,Positive
simple question  if it was a tragedy from the start  why are you running for president and if you can become defense mister again when anies becomes president  how can you convey it to your father and can you use your campaign funds for support in the next regime ,Negative
